active_dim_1,active_dim_2,c,epochs,final_train_mse,final_val_mse,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,one_task,pretrain_overlap,same_signs,save_path,scaling,seed,threshold,w_scaling
40.0,40.0,1e-05,1000000.0,9.999687189399252e-11,5.8202662245321335e-08,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.998039202097075e-11,1.1612187478249325e-07,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,128.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.999677474947788e-11,0.0661411955952644,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.997930261462784e-11,0.0804108306765556,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,1.0001095090972356e-10,0.0477117262780666,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,5.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=5/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,1.000243776694276e-10,0.0006656771874986,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,1.0002974837330923e-10,0.0006009840290062,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,1.0001708489193464e-10,0.0003006785118486,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,20.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=20/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.997758870783358e-11,2.4479611965944063e-05,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.998181449422108e-11,3.14777639687236e-06,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.999874539534659e-11,5.746718215959845e-06,complex,1000.0,0.0,-8.5e-06,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,30.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=30/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.997661032379311e-11,1.141081824584944e-07,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.999421429762734e-11,1.0402025019118357e-08,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-1e-05--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
40.0,40.0,1e-05,1000000.0,9.999640698810097e-11,1.8959763536940955e-08,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=-8.5e-06--init_method=complex/model.pt,0.001,1024.0,256.0,1.0,40.0,1.0,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=40/,0.001,0.0,1e-10,1.0
