active_dim_1,active_dim_2,epochs,final_train_mse,final_val_mse,inp_dim,linear_readout,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap,save_path,scaling,seed,threshold
40,40,1000000,9.098686387654098e-11,1.0341529846191406,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,30,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=16--pretrain_overlap=30/,0.001,0,1e-10
40,40,1000000,9.946606038813144e-11,1.1380234956741333,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,20,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=20/,0.001,0,1e-10
40,40,1000000,9.924006755257507e-11,1.059705138206482,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,30,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=32--pretrain_overlap=30/,0.001,0,1e-10
40,40,1000000,9.965837183267824e-11,0.6862635612487793,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,20,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=20/,0.001,0,1e-10
40,40,1000000,9.975727882638452e-11,0.4001058340072632,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,30,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=64--pretrain_overlap=30/,0.001,0,1e-10
40,40,1000000,9.974621129060779e-11,0.3963657915592193,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,20,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=20/,0.001,0,1e-10
40,40,1000000,9.997188493704455e-11,0.0233324579894542,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,128,True,30,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=128--pretrain_overlap=30/,0.001,0,1e-10
40,40,1000000,9.992565802585672e-11,0.000236898107687,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,20,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=20/,0.001,0,1e-10
40,40,1000000,9.998774030961499e-11,5.4838678806845564e-06,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,256,True,30,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=256--pretrain_overlap=30/,0.001,0,1e-10
40,40,1000000,1.3236975959785011e-09,3.839069222522085e-07,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,512,True,20,data/diagonal/overlap/seed=0--load_model=True--one_task=True--linear_readout=False--n_train2=512--pretrain_overlap=20/,0.001,0,1e-10
40,5,100000,9.385289767571692e-11,1.2718497514724731,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=16--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.747214146926808e-11,1.0805912017822266,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,16,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=16--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.837783365718168e-11,1.6908570528030396,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.925260613385943e-11,1.013435959815979,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,32,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=32--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.948703666440295e-11,1.004485249519348,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=1.0--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
40,5,100000,9.993150751341771e-11,0.0139633007347583,1000,False,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1e-05--lmda=0--init_method=simple/model.pt,0.001,1024,64,True,5,data/diagonal/sparse_overlap/seed=0--active_dim_2=5--one_task=True--n_train2=64--overlap_bool=yes--w_scaling=0.01--same_signs=True--lmda=0--c=1e-05--init_method=simple--load_model=True--linear_readout=False/,0.001,0,1e-10
