alpha_pt,omega,alpha,mse_best,source
0.01,0.0,0.07644067796610168,0.9906980802610468,imperfect_pt
0.01,0.0,0.08474576271186439,0.9673304315103854,imperfect_pt
0.01,0.0,0.09305084745762711,0.9426082841847743,imperfect_pt
0.01,0.0,0.10135593220338981,0.9167288540622017,imperfect_pt
0.01,0.0,0.10966101694915252,0.8898573563522703,imperfect_pt
0.01,0.0,0.11796610169491524,0.8621490597720247,imperfect_pt
0.01,0.0,0.12627118644067795,0.8337589225523169,imperfect_pt
0.01,0.0,0.13457627118644067,0.8048378781581799,imperfect_pt
0.01,0.0,0.14288135593220339,0.7755259550248021,imperfect_pt
0.01,0.0,0.1511864406779661,0.745947599503886,imperfect_pt
0.01,0.0,0.1594915254237288,0.7162102804493984,imperfect_pt
0.01,0.0,0.16779661016949152,0.6864070387769216,imperfect_pt
0.01,0.0,0.17610169491525424,0.6566216390041434,imperfect_pt
0.01,0.0,0.18440677966101693,0.6269330184608353,imperfect_pt
0.01,0.0,0.19271186440677965,0.5974162155772991,imperfect_pt
0.01,0.0,0.20101694915254237,0.5681423540607436,imperfect_pt
0.01,0.0,0.20932203389830506,0.5391797109474293,imperfect_pt
0.01,0.0,0.21762711864406778,0.5105955923182169,imperfect_pt
0.01,0.0,0.2259322033898305,0.48245735548096047,imperfect_pt
0.01,0.0,0.23423728813559322,0.4548313426362481,imperfect_pt
0.01,0.0,0.2425423728813559,0.42778254407963306,imperfect_pt
0.01,0.0,0.25084745762711863,0.4013742126693183,imperfect_pt
0.01,0.0,0.2591525423728813,0.3756683936924532,imperfect_pt
0.01,0.0,0.26745762711864407,0.35072407033660186,imperfect_pt
0.01,0.0,0.27576271186440676,0.3265908595694006,imperfect_pt
0.01,0.0,0.28406779661016945,0.3033072297054292,imperfect_pt
0.01,0.0,0.2923728813559322,0.28090459844964977,imperfect_pt
0.01,0.0,0.3006779661016949,0.2594117086756127,imperfect_pt
0.01,0.0,0.3089830508474576,0.2388563349388278,imperfect_pt
0.01,0.0,0.31728813559322033,0.2192633785361047,imperfect_pt
0.01,0.0,0.325593220338983,0.20065379137379086,imperfect_pt
0.01,0.0,0.3338983050847457,0.18304716471431565,imperfect_pt
0.01,0.0,0.34220338983050846,0.1664574462382101,imperfect_pt
0.01,0.0,0.35050847457627116,0.15088434218219732,imperfect_pt
0.01,0.0,0.35881355932203385,0.13631732548034683,imperfect_pt
0.01,0.0,0.3671186440677966,0.12274645709826891,imperfect_pt
0.01,0.0,0.3754237288135593,0.1101651521392248,imperfect_pt
0.01,0.0,0.383728813559322,0.09856010916809872,imperfect_pt
0.01,0.0,0.3920338983050847,0.08790341947099539,imperfect_pt
0.01,0.0,0.4003389830508474,0.0781573625199991,imperfect_pt
0.01,0.0,0.4086440677966101,0.06928216650964591,imperfect_pt
0.01,0.0,0.41694915254237286,0.06123771946388922,imperfect_pt
0.01,0.0,0.42525423728813555,0.05398273956466694,imperfect_pt
