curve,sigma0_pt,alpha,mse
huge_noise,100.0,0.383728813559322,0.7944667590822463
huge_noise,100.0,0.3920338983050847,0.7891521384076375
huge_noise,100.0,0.4003389830508474,0.7838139799765192
huge_noise,100.0,0.4086440677966101,0.7784525985033557
huge_noise,100.0,0.41694915254237286,0.773068258978105
huge_noise,100.0,0.42525423728813555,0.767661236118141
huge_noise,100.0,0.4335593220338983,0.7622317849007315
huge_noise,100.0,0.441864406779661,0.7567800951976349
huge_noise,100.0,0.4501694915254237,0.7513063793418998
huge_noise,100.0,0.45847457627118643,0.7458107602393428
huge_noise,100.0,0.4667796610169491,0.7402933815134538
huge_noise,100.0,0.4750847457627118,0.7347542977218035
huge_noise,100.0,0.48338983050847456,0.7291935109239601
huge_noise,100.0,0.49169491525423725,0.7236110211822095
huge_noise,100.0,0.5,0.7180067113376037
single_task,,0.01,1.041137881555298
single_task,,0.01830508474576271,1.043632047298228
single_task,,0.02661016949152542,1.03849216409343
single_task,,0.03491525423728813,1.0284934615685986
single_task,,0.043220338983050846,1.0148825050360415
single_task,,0.05152542372881356,0.9983366744574238
single_task,,0.059830508474576265,0.9793895572894511
single_task,,0.06813559322033898,0.9584504546494751
single_task,,0.07644067796610168,0.9357726418642078
single_task,,0.08474576271186439,0.9115447185378033
single_task,,0.09305084745762711,0.8859923416129113
single_task,,0.10135593220338981,0.8593627500758763
single_task,,0.10966101694915252,0.8318703429531168
single_task,,0.11796610169491524,0.8036777297443255
single_task,,0.12627118644067795,0.7749025292499109
single_task,,0.13457627118644067,0.7456384169086072
single_task,,0.14288135593220339,0.7159775089220818
single_task,,0.1511864406779661,0.6860220753912697
single_task,,0.1594915254237288,0.6558889903427666
single_task,,0.16779661016949152,0.6257073989833891
single_task,,0.17610169491525424,0.5955986091340891
single_task,,0.18440677966101693,0.565653475962111
single_task,,0.19271186440677965,0.5359296657384174
single_task,,0.20101694915254237,0.5064633440393214
single_task,,0.20932203389830506,0.4772793751317371
single_task,,0.21762711864406778,0.4484011990334752
single_task,,0.2259322033898305,0.4198725391759401
single_task,,0.23423728813559322,0.39178419768867523
single_task,,0.2425423728813559,0.36427696737256254
single_task,,0.25084745762711863,0.33750716113169876
single_task,,0.2591525423728813,0.311598656362125
single_task,,0.26745762711864407,0.2866137268988075
single_task,,0.27576271186440676,0.26256157769026256
single_task,,0.28406779661016945,0.23944557451203308
single_task,,0.2923728813559322,0.21731070834617758
single_task,,0.3006779661016949,0.19624743105090225
single_task,,0.3089830508474576,0.1763680236634163
