pt_mode,alpha_pt,sigma0_pt,alpha_ft,alpha_ft_req,seed,inp_dim,rho_pt,rho_ft,omega,emp_omega,c_pt,lambda_pt,gamma_reinit,a_pt,n_train_pt,n_train_ft,pt_param_mse,pt_stop,pt_epoch,ft_param_mse,ft_pred_mse,ft_stop,ft_epoch,wall_s
noisy,1.0,0.01,0.05,0.05,2,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001511058032224,train_pred_mse,30000,1.330273465114676,1.3553754325235683,train_pred_mse,2000,20.48621082305908
noisy,1.0,0.01,0.1,0.1,0,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001272024912022,train_pred_mse,28000,1.4580687071649143,1.4455754887060013,train_pred_mse,4000,19.815847158432007
noisy,1.0,0.01,0.1,0.1,1,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001445238401438,train_pred_mse,32000,1.6017640568692937,1.6169333877548069,train_pred_mse,4000,31.85620927810669
noisy,1.0,0.01,0.1,0.1,2,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001511058032224,train_pred_mse,30000,1.328590355145013,1.3374718385895432,train_pred_mse,4000,27.92271518707275
noisy,1.0,0.01,0.15,0.15,0,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001272024912022,train_pred_mse,28000,1.3062981287625404,1.3030404183345836,train_pred_mse,6000,18.769763946533203
noisy,1.0,0.01,0.15,0.15,1,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001445238401438,train_pred_mse,32000,1.3337459028398733,1.3419494377893604,train_pred_mse,6000,20.5727219581604
noisy,1.0,0.01,0.15,0.15,2,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001511058032224,train_pred_mse,30000,0.9237228030183064,0.930320892244153,train_pred_mse,6000,19.539761066436768
noisy,1.0,0.01,0.05,0.05,3,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001794499486024,train_pred_mse,32000,0.570813177322377,0.5792052219012329,train_pred_mse,2000,29.98327088356018
noisy,1.0,0.01,0.1,0.1,3,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001794499486024,train_pred_mse,32000,0.1424955401350624,0.1415228249060222,train_pred_mse,4000,29.205262899398804
noisy,1.0,0.01,0.15,0.15,3,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001794499486024,train_pred_mse,32000,0.032842144013979,0.0326331019914986,train_pred_mse,6000,30.35937523841858
noisy,1.0,0.01,0.05,0.05,4,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001392575140993,train_pred_mse,32000,0.5495522064540056,0.5520409107398471,train_pred_mse,2000,30.46372413635254
noisy,1.0,0.01,0.1,0.1,4,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001392575140993,train_pred_mse,32000,0.2437600121153962,0.2403117112448606,train_pred_mse,4000,35.35209393501282
noisy,1.0,0.01,0.15,0.15,4,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001392575140993,train_pred_mse,32000,0.0452973985894605,0.0451094456411786,train_pred_mse,6000,32.41645693778992
