alpha_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,reliability_score_db,s2_pt,gp_pt,pt_oracle
0.01,1.0679746835443038,1.8143519397617647e-10,2.457107047770295e-07,1.8143519397617647e-10,31.317025442511593,5.923246567144264e-07,1.0134617165848105e-12,0.005585805567126541,0.02425884534787521,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.0931645569620254,1.493197692417061e-10,1.5835695628934552e-07,1.493197692417061e-10,30.255198356762605,4.98949166988508e-07,8.365650820928336e-13,0.0056025071987532565,0.02433137961241784,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.1183544303797468,1.244621031035227e-10,1.1076991013063687e-07,1.244621031035227e-10,29.493846681426874,4.24207232929667e-07,6.995390294721678e-13,0.0056204982241889224,0.024409513643122743,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.1435443037974684,1.0496044977098563e-10,8.093388654936167e-08,1.0496044977098563e-10,28.871047132217143,3.6375740751951494e-07,5.919438008215541e-13,0.005639684301211769,0.024492837716926678,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.1687341772151898,8.946825228815239e-11,6.211024825375592e-08,8.946825228815239e-11,28.414943113893244,3.143914794373189e-07,5.063881120386148e-13,0.005659975455960393,0.024580961082314404,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.1939240506329114,7.701769182548078e-11,4.955694510056087e-08,7.701769182548078e-11,28.08514027848858,2.737111983763323e-07,4.3755945557620373e-13,0.005681284977582776,0.02467350715884039,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.2191139240506328,6.690336691039719e-11,4.009643523838685e-08,6.690336691039719e-11,27.776577893374906,2.3990413606989525e-07,3.815852803904352e-13,0.005703528805979038,0.024770110878129383,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.2443037974683544,5.860436805189615e-11,3.320754956257898e-08,5.860436805189615e-11,27.53306842325587,2.1158638258913657e-07,3.3560525497842035e-13,0.005726625269318331,0.024870417543926743,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.269493670886076,5.173127913840512e-11,2.6952175681011424e-08,5.173127913840512e-11,27.168406116564142,1.876908619916381e-07,2.974804649669589e-13,0.005750495056792641,0.0249740827137697,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.2946835443037974,4.598961600026557e-11,2.144681453864614e-08,4.598961600026557e-11,26.687030128816815,1.6738715654822246e-07,2.6559285336769467e-13,0.005775061339197983,0.025080772722664874,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.319873417721519,4.115426437262636e-11,1.6738955611868865e-08,4.115426437262636e-11,26.093135145764435,1.5002334106928657e-07,2.3870502083775697e-13,0.005800249973524759,0.02519016557161285,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.3450632911392404,3.7051381120447824e-11,1.281966249673584e-08,3.7051381120447824e-11,25.390721903640824,1.3508335956470593e-07,2.1586096651993948e-13,0.005825989747000569,0.02530195198747269,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.370253164556962,3.354542605555693e-11,9.638261346905557e-09,3.354542605555693e-11,24.583653861075604,1.2215549140389822e-07,1.9631496625649205e-13,0.005852212636422059,0.025415836549225808,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.3954430379746836,3.052976457420297e-11,7.116983865865289e-09,3.052976457420297e-11,23.675725259731408,1.1090880897445873e-07,1.794800308025847e-13,0.005878854072600406,0.025531538836448146,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.420632911392405,2.7919784652928768e-11,5.164008142947911e-09,2.7919784652928768e-11,22.670748541959085,1.0107544987497652e-07,1.648901501483015e-13,0.005905853221937535,0.02564879465218012,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.4458227848101266,2.5647803809175358e-11,3.683982068313428e-09,2.5647803809175358e-11,21.572673246910398,9.243715964260151e-08,1.5217235218452143e-13,0.005933153314674164,0.02576735744848977,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.471012658227848,2.365926341774444e-11,2.585691474686948e-09,2.365926341774444e-11,20.385754838748042,8.481500090747024e-08,1.4102582078688474e-13,0.005960702085134038,0.025887000238429193,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.4962025316455696,2.1909857569046013e-11,1.7869800278912663e-09,2.1909857569046013e-11,19.114801443372045,7.806143450225561e-08,1.3120613991920842e-13,0.005988452435426823,0.026007518478459585,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.5213924050632912,2.0363345805109605e-11,1.217315534352714e-09,2.0363345805109605e-11,17.765540277503945,7.205419981188457e-08,1.225132907537334e-13,0.0060163635154195615,0.026128734758707646,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.5465822784810126,1.898986919936492e-11,8.185371247006722e-10,1.898986919936492e-11,16.345164082308784,6.66915851602057e-08,1.1478241387063847e-13,0.006044402553045345,0.026250506751895202,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.5717721518987342,1.776463742207853e-11,5.44339958257004e-10,1.776463742207853e-11,14.863138677328962,6.188880664307847e-08,1.0787661353225446e-13,0.006072548004733355,0.026372740895482975,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
