label,solver,omega,alpha_pt,sigma0_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,reliability_db,s2_pt,gp_pt
w1.0_oracle,oracle,1.0,1.0,0.0,0.3452631578947368,3.638981384499895e-05,4.1586704042851685e-05,3.638981384499895e-05,0.5797466776540503,9.499629910643403e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.37105263157894736,2.4626992468403814e-05,2.887883849190066e-05,2.4626992468403814e-05,0.6916834433981762,9.776900703018822e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.3968421052631579,2.0226443766112258e-10,2.0809318081048632e-05,2.0226443766112258e-10,50.123383172790106,6.352114988268353e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.4226315789473684,3.3369891676904066e-11,1.55513914660942e-05,3.3369891676904066e-11,56.68414456869807,2.4475952214656878e-05,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.44842105263157894,5.431281571829418e-12,1.1830852641309752e-05,5.431281571829418e-12,63.38113726719591,9.978635051814495e-06,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.47421052631578947,7.735221842597089e-13,9.272536591110175e-06,7.735221842597089e-13,70.78725782229216,4.32156754427739e-06,79.70546867010192,,
w1.0_oracle,oracle,1.0,1.0,0.0,0.5,7.025481565899623e-14,7.31410039752135e-06,7.025481565899623e-14,80.17484818840771,1.999552760286758e-06,79.70546867010192,,
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.01,7.025481565899623e-14,7.025481565899623e-14,1.0259919047574877,131.6446783555904,9.997763801433788e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.035789473684210524,0.7894198385776344,0.7894198385776344,0.7894198823292443,2.406967913870517e-07,8.802410069108646e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.06157894736842105,0.5090599037178277,0.5090737267331704,0.5090599037178277,0.0001179267457120936,9.308021577325576e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.08736842105263157,0.27302347498862867,0.2730577030278534,0.27302347498862867,0.0005444263299878571,9.632726331032515e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.1131578947368421,0.12095315697022385,0.1210293525775297,0.12095315697022385,0.0027350185725154574,9.805858866673844e-05,79.70546873852247,0.0,0.0
