rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp,experiment
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1712658227848101,0.5089710722415131,0.9998875,0.5089715461970964,0.5089710722415131,4.044163016025949e-06,9.43498186245506e-07,0.0068906547140859,0.0135384014728762,0.0587965305346102,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1774683544303797,0.4821492469970745,0.999875,0.4821497514361134,0.4821492469970745,4.543717071925357e-06,9.190306453632502e-07,0.0064746305481059,0.0134286853882511,0.0583200396333229,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1836708860759493,0.4560563438079899,0.9998875,0.4560568922980473,0.4560563438079899,5.223171769763724e-06,9.15068208318104e-07,0.0060755144862998,0.0133218506195317,0.0578560621280206,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1898734177215189,0.4306683794045089,0.9999,0.4306689886423754,0.4306683794045089,6.143670376879129e-06,9.309811712654436e-07,0.0056929741588915,0.0132189276741499,0.0574090734556151,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.1960759493670886,0.4059663066828009,0.9999,0.4059669967684339,0.4059663066828009,7.382389197285732e-06,9.660349253870493e-07,0.0053266929695215,0.0131210223159812,0.0569838758876009,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2022784810126582,0.3819393708425974,0.9999,0.381940143834125,0.3819393708425974,8.789500139272377e-06,9.63646272333918e-07,0.0049761246078486,0.0130285720397738,0.0565823694395276,0.2986616556099469,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2084810126582278,0.3585846244231684,0.9999,0.3585846244231684,0.3585846558119708,3.801608361442277e-07,9.948776686918848e-07,0.00464034794462,0.0129407331730542,0.0562008900883982,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2146835443037974,0.3359075114971798,0.9998875,0.3359084077912982,0.3359075114971798,1.158816213209235e-05,9.271651955078396e-07,0.004318290781325,0.0128555945714875,0.0558311378398244,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2208860759493671,0.313925553413821,0.9999,0.3139265460795965,0.313925553413821,1.3732828764823068e-05,9.437040875415192e-07,0.0040092679504807,0.0127713972528883,0.0554654735312377,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2270886075949367,0.2926698770317659,0.9999,0.2926709413577018,0.2926698770317659,1.5793563900246e-05,9.667071370067506e-07,0.0037132483524694,0.0126874975659568,0.0551011018205598,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2332911392405063,0.2721776454918796,0.9999,0.2721788349680623,0.2721776454918796,1.897958271968037e-05,9.94145969102078e-07,0.0034305757308457,0.0126041788797386,0.0547392533639198,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2394936708860759,0.2524806820146094,0.9999,0.2524819701126727,0.2524806820146094,2.2156643810333773e-05,9.58667293993187e-07,0.0031616155761162,0.0125222078413639,0.0543832576674998,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2456962025316456,0.2335997788310996,0.9999,0.2336011841349476,0.2335997788310996,2.612647468769325e-05,9.99142865221181e-07,0.0029067169965606,0.0124431496087259,0.0540399121256627,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2518987341772152,0.2155466804902875,0.9999,0.2155481781308836,0.2155466804902875,3.017512428105107e-05,9.8362765110771e-07,0.0026661645718468,0.0123693139963106,0.0537192481352639,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2581012658227848,0.1983276380588614,0.9999,0.1983292503836696,0.1983276380588614,3.530627036241185e-05,9.78938218598735e-07,0.0024399144531641,0.0123024429527066,0.0534288308829003,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2643037974683544,0.1819465657740737,0.9999,0.1819483162176468,0.1819465657740737,4.178173545632546e-05,9.831629317336166e-07,0.0022275369405285,0.012242808381965,0.0531698412328631,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2705063291139241,0.1664060377689531,0.9999,0.1664079504348311,0.1664060377689531,4.99173872476888e-05,9.945008124789825e-07,0.0020284220567272,0.0121895941032118,0.0529387345566533,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2767088607594937,0.1517069108424527,0.9999,0.15170895521823,0.1517069108424527,5.852436990316789e-05,9.591642404771503e-07,0.001841961823079,0.0121415815064079,0.0527302184981153,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2829113924050633,0.1378474958948175,0.9999,0.1378497494951455,0.1378474958948175,7.100007005789166e-05,9.814313348122106e-07,0.0016676119179207,0.0120975133214838,0.052538832802715,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2891139240506329,0.1248242735843425,0.9999,0.1248266415858649,0.1248242735843425,8.238784092995388e-05,9.580127787178758e-07,0.0015049286557235,0.012056378238858,0.0523601854087448,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.2953164556962025,0.1126306638216528,0.9999,0.1126332804656659,0.1126306638216528,0.0001008944471472,9.843214857641058e-07,0.001353558407442,0.0120176722884752,0.0521920876020644,0.3001481593722098,0.0989125,0.101325,exp1
